,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meta,,Headlines,Maximum of 25-40 Characters,,,,,Description,Maximum of 30 Characters,,,,,Primary Text,Maximum of 125 Characters,,,,,CTA,Only select from the approved CTAs,,,Final URL,,All approved to use,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Code,Category,Headline,# of Characters,Additional Headlines From the Client,,Code,Category,Description,# of Characters,Additional Headlines From the Client,,Code,Category,Primary Text,# of Characters,Additional Headlines From the Client,,Code,Category,CTA,,Code,Category,Final URL,Additional Headlines,,
,,,GH001,Training,We Can Train Any Dog! 🐶✨,,"Training That Actually Works

Walks Shouldn't Be Stressful

Confidence for Both of You

Calm Dogs, Happy homes",,GLH001,Training,Certified trainers. Proven results. Programs tailored to your dog.,,"Real Training. Real Results

Better behavior starts at Dogizone.

Transform your dog today

Training you can trust",,GLH001,Training,"Training is about more than commands, it’s about the bond you share with your dog ❤️ 

Our holistic, proven methods create confident, well-mannered pups who thrive anywhere. 

Let’s build that foundation together. 

📞 Call now for your more information",,"Struggling with pulling, jumping, or ignoring commands? Our certified trainers create calm, confident dogs. 📞 Call today to start training.

Transform your dog’s behavior with proven training designed for real life. Better manners, better walks, and a happier home. 📞 Call now!",,GCTA001,,,,GURL001,,,,,
,,,GH002,Training,Unmatched Dog Training Experts 🏆,,"Turn Chaos Into Confidence

Support Every Step Of The Way

Real Results You Can See

Bettter Behavior Starts Here",,GLH002,Training,Personalized programs designed for lifelong success.,,"Results that last.

Training tailored to your dog.

Stop bad habbits for good.

Maryland's dog training pros",,GLH002,Training,"Training is about more than commands — it’s about the bond you share with your dog ❤️ Our holistic, proven methods create confident, well-mannered pups who thrive anywhere. Let’s build that foundation together. 📞 Call now for your Free Training Evaluation.",,"From puppy basics to advanced obedience, our expert trainers build reliable behavior and lasting confidence in every dog.

Training that goes beyond obedience. We build focus, confidence, and reliable behavior so your dog can thrive anywhere.",,GCTA002,,,,GURL002,,,,,
,,,GH003,Training,Rockville’s Premier Dog Trainers 🐕,,,,GLH003,Training,The premier dog training center in Maryland.,,Book your custom training evaluation today,,GLH003,Training,"Looking for training you can trust? Our certified team has successfully trained over 30,000 dogs using structured, results-driven programs tailored to every pup. Real transformation starts with a conversation. 📞 Call now to get started.",,"Real results start with the right training. Our experienced team helps dogs develop calm behavior and dependable obedience.

Start your dog’s transformation today with professional training built around proven methods and personalized guidance.",,GCTA003,,,,GURL003,,,,,
,,,GH004,Boarding,Your Dog’s Home Away From Home 🏡🐶,,"Travel Without the Guilt

Care You Can Trust

A Stay They'll Love",,GLH004,Boarding,"Safe, trusted dog boarding",,"Safe, trusted dog boarding

Your dog's home away from home

Travel easy, we've got your dog

Stress free dog boarding",,GLH004,Boarding,"At DogiZone, your pup enjoys cozy lodging, fun playgroups, and attentive care from certified professionals. Whether it’s a night or a week, we make every stay comfortable and stress-free. 📞 Call now to reserve your dog’s spot!",,"Heading out of town? Give your dog a safe, fun place to stay with engaging play, cozy rest areas, and a caring team. 📞 Call today to book!

Leave town with confidence knowing your dog is enjoying safe play, loving attention, and a comfortable stay at Maryland’s trusted boarding center.",,GCTA004,,,,GURL004,,,,,
,,,GH005,Boarding,Where Every Tail Wag Matters 🐾✨,,"A Vacation For Both of You

(Seasonal): Holiday Boarding Spots Open

(Seasonal): Holiday Plans? We've Got Them",,GLH005,Boarding,Happy pups + trusted care = stress-free boarding.,,"Where dogs love to stay

Dogs love staying at DogiZone

Preimum dog boarding care

Book your dog's stay today",,GLH005,Boarding,"Give your dog a getaway filled with playtime, socialization, and lots of belly rubs! From comfy beds to daily group activities, our boarding team keeps pups happy while you’re away. 📞 Call now to book your dog’s stay!",,"Turn your dog’s stay into a vacation! Playgroups, comfy rest areas, and attentive staff keep pups happy and relaxed while you're away.

Your dog’s favorite place to stay while you’re away. Safe group play, attentive staff, and cozy lodging designed for happy pups.",,GCTA005,,,,GURL005,,,,,
,,,GH006,Boarding,Trusted Boarding by Dog Care Experts 🐕❤️,,,,GLH006,Boarding,"Comfort, safety, and personalized care for your dog.",,Loving care while you're away,,GLH006,Boarding,"Travel worry-free knowing your dog is in expert hands. Our experienced team provides safe, fun boarding with individualized attention, daily updates, and a home-like environment. 📞 Call now to secure your dog’s boarding!",,"A comfortable stay, engaging play, and caring professionals make DogiZone the trusted choice for dog boarding in Maryland.",,GCTA006,,,,GURL006,,,,,
,,,GH007,,,,,,GLH007,,,,,,GLH007,,,,,,GCTA007,,,,GURL007,,,,,
,,,GH008,,,,,,GLH008,,,,,,GLH008,,,,,,GCTA008,,,,GURL008,,,,,
