Ad report
"February 1, 2026 - May 27, 2026 compared to October 8, 2025 - January 31, 2026"
Ad status,Final URL,Beacon URLs,Headline,Short headline,Long headline,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Description 5,Image ID,Square image ID,Portrait image ID,Logo ID,Landscape logo ID,Upload asset ID,Business name,Display Network image ID,Video,Call to action text,Call to action text 1,Call to action text 2,Call to action text 3,Call to action text 4,Call to action text 5,Call to action headline,Video ID,Companion banner,Accent color,Main color,Allow flexible color,Ad format preference,Promotion text,Price prefix,Enable Asset Enhancements,Enable Autogen Video,Ad name,ad.device_preference,ad.display_url,Display URL,Country,Phone number,Verification URL,Call reporting,Call conversion,Path 1,Path 2,Auto-applied ad suggestion,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Status,Status reasons,Ad type,Ad strength,Ad strength improvements,CTR,CTR (Compare to),CTR (Change),CTR (Change %),Conv. rate,Conv. rate (Compare to),Conv. rate (Change),Conv. rate (Change %),Currency code,Cost / conv.,Cost / conv. (Compare to),Cost / conv. (Change),Cost / conv. (Change %),Conv. value / cost,Conv. value / cost (Compare to),Conv. value / cost (Change),Conv. value / cost (Change %),Conv. value,Conv. value (Compare to),Conv. value (Change),Conv. value (Change %),Clicks,Clicks (Compare to),Clicks (Change),Clicks (Change %),Cost,Cost (Compare to),Cost (Change),Cost (Change %),Impr.,Impr. (Compare to),Impr. (Change),Impr. (Change %),Avg. CPC,Avg. CPC (Compare to),Avg. CPC (Change),Avg. CPC (Change %),Ad group ID,View-through conv.,View-through conv. (Compare to),View-through conv. (Change),View-through conv. (Change %),Cross-device conv.,Cross-device conv. (Compare to),Cross-device conv. (Change),Cross-device conv. (Change %),Conversions,Conversions (Compare to),Conversions (Change),Conversions (Change %)
Paused,https://www.dogizone.com/dog-daycare/, --, --, --, --, --, --, --, --, --,"Dog Daycare in Rockville, MD", --,"Expert Care, Trained Staff", --,"Safe, Fun Play at DogiZone®", --,Indoor & Outdoor Play Areas, --,MoCo's Largest Pet Resort, --,A Great Place to Stay & Play, --,Premier Rockville Pet Resort, --,Where Paws Come To Stay & Play, --,Call us for more information, --,Area's Top Dog Daycare Center, --,Dog Care Services Near You, --, --, --, --, --, --, --, --, --, --,"Vet-approved fun! DogiZone, your dog's resort with both indoor and outdoor play zones", --,"Tailored play, inside and out! DogiZone groups dogs by size & playstyle. Best Dog Daycare", --,Beyond play! DogiZone offers enriching experiences in both indoor and outdoor settings, --,We're the largest indoor/outdoor climate-controlled dog daycare facility in MoCo County., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dog-daycare,rockville-md,No,, --, --,,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,ET | Dog Daycare KW | Target CPA,Paused,paused,Responsive search ad,Good,Add more headlines to increase your chances for better performance;Try including more keywords in your descriptions;Try adding a few more unique headlines or unpinning some assets, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,161182769432,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-daycare-paid/, --, --, --, --, --, --, --, --, --,Premier Dog Daycare, --,Rockville's Top Doggy Daycare, --,Trusted Dog Play Experts, --,Expert Dog Care Staff, --,Indoor & Outdoor Play Areas, --,Come Stay & Play, --,Dog Daycare Near Me, --,Next Best Place To Home, --,Spacious Covered Outdoor Play, --,Personalized Play Programs, --,Local Dog Daycare, --, --, --, --, --, --, --, --, --, --,"Vet-approved fun! DogiZone, your dog's resort with both indoor and outdoor play zones", --,"Tailored play, inside and out! DogiZone groups dogs by size & playstyle. Best Dog Daycare", --,Beyond play! DogiZone offers enriching experiences in both indoor and outdoor settings, --,We're the largest indoor/outdoor climate-controlled dog daycare facility in MoCo County., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dog-daycare,rockville-md,No,, --, --,,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,ET | Dog Daycare KW | Target CPA,Eligible,,Responsive search ad,Good,Add more headlines to increase your chances for better performance;Try including more keywords in your descriptions;Try adding a few more unique headlines or unpinning some assets,7.51%,9.07%,-1.56%,-17.16%,22.02%,11.00%,11.03%, +100.30%,USD,17.71,110.45,-92.74,-83.97%,0.05,0.03,0.02, +62.08%,29.99,131.00,-101.01,-77.11%,168,382,-214,-56.02%,655.27,4639.18,-3983.92,-85.88%,"2,236","4,212","-1,976",-46.91%,3.90,12.14,-8.24,-67.88%,161182769432,1,0,1, +∞,0.00,3.00,-3.00,-100.00%,37.00,42.00,-5.00,-11.91%
Enabled,https://www.dogizone.com/, --, --, --, --, --, --, --, --, --,"DogiZone® Stay, Play, Train", --,Premier Pet Care Facility, --,Rockville's Finest Pet Care, --,Activities & Outdoor Space, --,"Stay, Play, Train", --,Special Offers For New Clients, --,Welcome to DogiZone, --,Visit Our DogiMarket, --,Transportation Services, --,Expert Dog Training Classes MD, --,Personalized Play Programs, --,Rockville Dog Training Classes, --, --, --, --, --, --, --, --,"DogiZone® Is Rockville, MD's Premier Dog Boarding & Dog Daycare Facility.", --,Our Goal Is To Provide Pet Parent's With Outstanding Experiences For Their Pets, --,"Certified DogiExperts. The area's largest training, boarding & daycare facility.", --,Rockville's Premier Pet Resort. Call Us Today To Book Your Reservation!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,premier,pet-resort,No,, --, --,,ET | Search | BOFU | Branded | Target ROAS | Business Term | Phone + LeadForm | Rockville MD,ET | DogiZone Branded KW | Pet In-Market Signals | Target ROAS,Eligible,,Responsive search ad,Good,Try including more keywords in your headlines,27.40%,28.65%,-1.25%,-4.37%,46.95%,45.98%,0.97%, +2.11%,USD,0.86,0.79,0.07, +9.46%,2.12,2.22,-0.10,-4.54%,"1,694.42","1,996.15",-301.72,-15.12%,"1,981","2,490",-509,-20.44%,799.40,898.95,-99.56,-11.07%,"7,231","8,692","-1,461",-16.81%,0.40,0.36,0.04, +11.77%,33265965194,0,0,0,0.00%,15.08,34.08,-19.00,-55.76%,930.11,"1,144.93",-214.83,-18.76%
Paused,https://www.dogizone.com/, --,Rockville's DogiZone, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"For Dogs Boarding Kennel, Training", --,"Grooming Large Or Small, Certified!", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,www.dogizone.com,www.dogizone.com, --, --, --, --, --, --, --,No,, --, --,,ET | Search | BOFU | Branded | Target ROAS | Business Term | Phone + LeadForm | Rockville MD,ET | DogiZone Branded KW | Pet In-Market Signals | Target ROAS,Paused,paused,Text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,33265965194,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Paused,https://www.dogizone.com/, --, --, --, --, --, --, --, --, --,"DogiZone® In Rockville, MD", --,"Stay, Play, Train", --,Special Offers For New Clients, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Certified DogiExperts. The area's largest training, boarding & daycare facility.", --, --,Call Us Today To Book Your Reservation!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,rockville,md,No,, --, --,,ET | Search | BOFU | Branded | Target ROAS | Business Term | Phone + LeadForm | Rockville MD,ET | DogiZone Branded KW | Pet In-Market Signals | Target ROAS,Paused,paused,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,33265965194,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Paused,https://www.dogizone.com/, --, --, --, --, --, --, --, --, --,Rockville's DogiZone, --,Book Now for the Holidays, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Overnight boarding. Safe daycare environment. Area's top training programs., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,holidays, --,No,, --, --,,ET | Search | BOFU | Branded | Target ROAS | Business Term | Phone + LeadForm | Rockville MD,ET | DogiZone Branded KW | Pet In-Market Signals | Target ROAS,Paused,paused,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,33265965194,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Paused,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,DogiZone Better Training & Care For, --,Your Best Friend's Local Boarding., --, --, --, --, --, --, --, --, --, --, --, --,Dogi Zone, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dogizone.com/,dogizone.com/,US,240-339-3647, --,true, --, --, --,No,, --, --,,ET | Search | BOFU | Branded | Target ROAS | Business Term | Phone + LeadForm | Rockville MD,ET | DogiZone Branded KW | Pet In-Market Signals | Target ROAS,Paused,paused,Call-only ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,33265965194,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Paused,http://www.canineobedienceunlimited.com/, --,DogiZone, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Rockville's Premier Dog Training,", --,Boarding & Grooming Facility., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,canineobedienceunlimited.com,canineobedienceunlimited.com, --, --, --, --, --, --, --,No,, --, --,,ET | Search | BOFU | Branded | Target ROAS | Business Term | Phone + LeadForm | Rockville MD,brand,Paused,paused; ad group removed,Text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,28099227794,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Paused,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Certified DogiExperts. The area's largest training, boarding & daycare facility.", --, --,Call Us Today To Book Your Reservation!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,No,, --, --,,ET | Search | BOFU | Branded | Target ROAS | Business Term | Phone + LeadForm | Rockville MD,DogiZone - Brand - dynamic ad group,Paused,paused; ad group paused,Expanded dynamic search ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,81740980967,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Paused,https://www.dogizone.com/dog-daycare/, --, --, --, --, --, --, --, --, --,Award-Winning Dog Daycare, --,Safe & Healthy Environment, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Hours of exercise & stimulation. Supervised play groups. Professional staff., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dog-daycare, --,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,under review; paused; ad group removed,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,64503560280,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
