,,,,,,,,,,,,,,,,,,,,,,,,,
,Media Plan DogiZone,,,,,,,,,,,,,,,,,,,,,,,,
,Transition Month to new strategy. The main goal is to reach 350 leads per month. The highest value of conversion action is Phone Calls (because of highest quality). Those actions on Google are set to only track when 60 seconds of the call have been completed. In theory we'll only count 30% of calls as leads. ,,,,,,,,,,,,,,,,,,,,,,,,Total
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Budget Available,"$10,000.00",,,,,,,,,,,,,,,,,,,,,,,
,Number of Days ,31,,,,,,,,,,,,,,,,,,,,,,,
,Daily Budget ,$322.58,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,PLATFORM,% SPEND,TOTAL USD SPEND,,,,,,,,,,,,,,,,,,,,,,
,Google,85.18%,"$8,907.07",,,,,,,,,,,,,,,,,,,,,,
,Meta,14.82%,"$1,550.00",,,,,,,,,,,,,,,,,,,,,,
,Total,100.00%,"$10,457.07",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Platform,Audience Stage,Campaign Type,Business Vertical,Campaign Name,Ad Groups / Ad Sets,Bidding Strategy,Conversion Goals,Demographic Targeting,Targeting Details,% of Budget,Monthly Budget,Daily Budget,Objective (KPI),Goal KPI,Result Volume,Result KPI,Notes,,Notes:,,,,,
,Google,BOFU,Search,Brand,Brand Search Campaign (x2),DogiZone,Max Conv Value: Target ROAS 377%,"Submit Lead Forms
Phone Call Leads
Book Appointments","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 18 - 64","1. Montgomery County, MD
2. Rockville, MD
3. 25 mi around Rockville, MD",2.00%,$209.36,$120.00,CPL + Overall Leads (Calls as a % and leads as a counter),,,,"The amount spent per month may vary MoM based on the configuration. 

This is an existing campaign with edits on configuration. ",,"The branded campaign has a high budget but it's not spending the actual amount. 

It happens the same for a little on ""Boarding Search Campaign - Exact"" and similar to branded in dimension on ""Daycare Search Campaign - Exact"".

New Customers PMAX set to Bid Higher for new customers not Only New Customers. 

Meta we'll start with blended campaigns for Training and Boarding based on the ads, to later drill down on specific vertical campaigns. On Meta we're testing 2 funnels (Calls and Calls&WebLead) to understand KPIs and benchmarks of performance. 

There are some campaigns that we will mantain but with changes in configuration to leverage their track record and history in the algorythm. ",,,,,
,Google,TOFU,Search,Boarding,Brand Search Campaign (x2),"Pet Boarding
Dog Boarding
Dog Kennel",Max Conversions: Target CPA $37.5,"Submit Lead Forms
Phone Call Leads
Book Appointments","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. Montgomery County, MD

Exclude VA and Prince George’s County.",24.39%,"$2,550.86",$82.29,CPL + Overall Leads (Calls as a % and leads as a counter),,,,This is an existing campaign with edits on configuration. ,,,,,,,
